257	1306	1
257	204	1
257	1500	1
307	307	1
307	308	1
307	583	1
307	954	1
288	351	1
288	429	1
288	473	1
288	1122	1
288	1322	1
288	741	1
288	82	1
288	1179	1
288	1418	1
288	169	1
288	347	1
288	1227	1
288	1262	1
288	1567	1
288	583	1
288	579	1
47	746	1
47	1417	1
47	1354	1
47	1044	1
47	1256	1
46	46	1
46	583	1
588	588	1
588	591	1
588	1469	1
588	703	1
588	1341	1
588	774	1
588	1198	1
588	171	1
588	1425	1
588	1512	1
588	1251	1
588	1442	1
588	1282	1
588	1564	1
1103	1557	1
1103	88	1
1103	1090	1
1103	37	1
1103	1488	1
1103	171	1
1103	1425	1
1103	116	1
1103	55	1
1103	1359	1
1103	1282	1
1103	85	1
1103	1539	1
1103	382	1
464	261	1
464	1307	1
464	419	1
464	116	1
464	386	1
464	95	1
465	465	1
466	466	1
1105	1304	1
1105	1073	1
1105	1074	1
1105	1122	1
1105	1325	1
1105	697	1
1105	23	1
1105	29	1
1105	335	1
1105	1276	1
1561	1561	1
1561	583	1
1382	1382	1
1382	1383	1
1382	1342	1
601	1307	1
601	129	1
601	583	1
602	602	1
602	1387	1
602	633	1
602	901	1
602	583	1
604	603	1
1307	1307	1
453	451	1
453	990	1
452	454	1
451	451	1
455	474	1
455	1122	1
455	664	1
455	1132	1
455	12	1
455	1200	1
455	55	1
455	1357	1
455	103	1
455	583	1
455	1282	1
455	1288	1
455	1539	1
455	382	1
450	1304	1
450	449	1
450	628	1
450	87	1
450	1096	1
450	1339	1
450	305	1
450	263	1
450	1290	1
449	454	1
449	449	1
449	1316	1
449	98	1
449	456	1
148	148	1
310	1481	1
310	1223	1
351	46	1
351	351	1
351	1392	1
351	1096	1
351	1407	1
351	1500	1
351	154	1
351	1097	1
351	6	1
351	1098	1
351	1099	1
611	411	1
611	380	1
611	1122	1
611	1412	1
611	396	1
611	233	1
611	779	1
611	785	1
611	139	1
611	816	1
611	1216	1
611	42	1
611	200	1
611	1046	1
611	208	1
611	579	1
611	1568	1
217	217	1
217	583	1
613	1536	1
613	220	1
81	612	1
81	576	1
615	116	1
111	1322	1
111	1046	1
185	1324	1
185	583	1
380	994	1
380	1185	1
1108	1510	1
31	81	1
31	628	1
31	1393	1
31	1471	1
31	1319	1
31	482	1
31	114	1
31	363	1
31	245	1
31	499	1
31	3	1
31	426	1
31	1426	1
31	1242	1
31	90	1
31	93	1
31	394	1
31	297	1
31	525	1
31	967	1
31	1563	1
622	47	1
622	1307	1
622	81	1
622	219	1
622	1393	1
622	1471	1
622	1318	1
622	1405	1
622	1006	1
622	1172	1
622	748	1
622	1339	1
622	245	1
622	1175	1
622	755	1
622	1504	1
622	181	1
622	1351	1
622	860	1
622	457	1
622	895	1
622	80	1
622	297	1
622	33	1
622	1563	1
1312	429	1
1312	419	1
1312	716	1
1312	459	1
1312	1262	1
624	1387	1
624	214	1
624	223	1
624	1090	1
624	37	1
624	1187	1
624	1200	1
624	1515	1
624	1042	1
624	890	1
624	345	1
624	80	1
625	1005	1
625	1078	1
625	48	1
625	1550	1
625	1273	1
625	583	1
628	628	1
631	118	1
91	583	1
91	1556	1
91	382	1
635	1205	1
636	411	1
636	408	1
636	88	1
636	748	1
636	1417	1
636	456	1
636	72	1
636	583	1
639	1102	1
639	649	1
639	1117	1
639	456	1
639	1031	1
639	948	1
639	386	1
430	1172	1
430	935	1
430	14	1
430	1290	1
640	1122	1
640	683	1
640	1005	1
640	463	1
640	1550	1
640	367	1
640	320	1
646	1090	1
236	236	1
236	1472	1
236	42	1
236	503	1
236	882	1
236	1550	1
236	52	1
236	583	1
1316	746	1
651	1108	1
651	1318	1
651	1322	1
651	84	1
651	1339	1
651	498	1
651	850	1
